text	sentiment_score
Like we will dissect that later like but like I feel like our evolution of news has been like So like amazing, we started off very very docile. Very like, I'm clay my shoulders showing. Well, I'm in a bralette like and now it's like full-blown lingerie. Like the lighting is on point hair and makeup is on fleek at all times Yeah. We actually she could sheet room clean when we lived together us and our other roommate decided that we wanted to take some Some group nudes. They were beautiful. They were works of art and now they hang in our home for my 30th birthday my 30th. It was my 30th birthday. I went to Paris and Mike had the best time and we had taken these nudes like right before I had gone. So I came home and Jaclyn like in our other roommate Meg who is a delight set up this whole birthday thing for me. And Jacqueline got me a full-blown canvas of one of our nudes that still hangs in my home to this day. The biggest size will take it. Yeah, it's gorgeous. It's like a shot from above. It's like we're in these beautiful like red and black colored coordinating panties and undies and it's probably my favorite picture. It makes me feel like a whole Queen. I love them. So yeah - yeah, so I post pictures on Earth. Well posed pictures that We'll definitely be there maybe one of the other ones from the shoot to like the one that's literally hanging on Jacqueline's fridge for all to see her all to see. Well, I think that's the thing is like you have to be confident in your own body and I don't take these for anybody else like I guess that first time I did but like I feel like it's 2019 like I'm out here taking these for me. Hmm and you yeah, so it's like I'm not knocking it. Send it to you because I need you to be like that's a good one. That's a bad one. Your ass looks amazing. Right we don't live together now. So like we have to send them to each other exactly like I can't just come in your room and be like is this a cute outfit to wear in a nude? I know it's tough. Also, I feel like when we say nudes it's like a range of things. It's like full blown like I'm in a robe cute towel to like up my vagina shot. Hi. How many vaginas shot? Yes, that's me. Neither. That's what you think. I will say though. I do keep my vagina shots in a wok. Folder Hank that's aggressive. That is your like assaulting people with that.	1.0
Okay? So basically we're going to be doing synonyms. When we do our big part of it just for fun because why not also guys who's listening. This is our first pod. Past of course. It's called big facts podcast re trying but it was cool. So we did it. It's set for a comedy. We're trying to do more of a PG-13 type things for all audiences. We're going to keep swearing down to a minimum. They're going to we're trying to keep it around a 30 minutes for each podcast, but if it gets into like a good heated discussion and we start arguing about stuff not or not saying we're going to end in 30 minutes, but I'm probably keep going to be honest. Keep it going also as of right now if you want you can also subscribe keep listening and we should be on other things like Spotify. We're gonna probably be on Apple Google Play anything where you can listen. Those are the most popular ones. But yeah, so we're going to get right into the podcast. We have some	1.0
No, I think we should have you all three. That's that's seems to be working at the moment think that Chomp control damage to Citizen. Yeah, remember and then Bennett mess anything up in it.	0.0
We all back. What up?	1.0
You can still train outside actually, so we did that and eventually I see the progress in her beginning hit she couldn't do a one purpose.	0.0
Only Laura score has been 10 years. What content have you got out there at the moment?	1.0
And in that called the beasts of the shoulder and a lot of called to resume the fight with him. During the battle. He was also fired upon By Conrad and his companions and that allowed called to gain an advantage and that allowed Kong to get an advantage of the fight before finally upper Cunningham was the ship's propeller slicing his throat open and seemingly killing him and and and as we ever will and after Weaver was knocked into the water earlier in the fight combat is to save her from drowning, but unfortunately, the giant skull called was still alive and he pounced Called once more after quality his tail around Prague. He wrapped his tongue around the HR and pulling it down his gullet and an attempt to devour Weaver, but after a brief struggle called tour the creatures tongue where which is connected to its internal organs out of his mouth killing him instantly avenging the deaths of his parents and that stated I personally imagine calling saying this like a she's ripping it out. I imagine him saying this is for Mommy and Daddy and the end that they are	0.0
Joking Foley was amazing.	1.0
Yeah. Yeah mangalore's to I guess those are like, yeah and I feel like octane is going to become that very very quickly because those are the people who want to go fast and want to just like get around you as quickly as	1.0
Food part way through the game part of me does want to try out the new Firestorm for Battlefield because I do kind of want to see like, how are they going to how are they going to handle Vehicles? Because even though like the high-tier like armored vehicles, you have to go to like a specific spot on the map and then you have to work together. And if you work together from the way it sounds is that if you work together, you get the doors open faster and therefore you can get inside. But I would like to definitely see how they do it because if they can figure it out and then you know, obviously it's ETA. So like if they can figure it out and then maybe Titanfall kind of, you know looks over their shoulder and be like, okay, maybe tighten its can work together and try to make like add it to Em are br-2. I mean cause baby you could be like a bunker type situation where you have to go to very specific part of the map. I think they have to work together, you know anything	1.0
Okay, let's talk about the gum chewing yeah disgusting the whole scene with Hannah and Oliver was so awkward bothering me.	0.0
I love every kind of Dick. Sorry. I'm thinking about dicks again. I don't it's not my thing but like	1.0
Um, so yeah finding a professional that works will be that's not homophobic. That isn't crazy. ABS is not easy all the time. Genuinely and where that hasn't been through anything. So we're like well, maybe you should meditate. Yeah, you're just not going to buy with some of them. Yeah, like, you know, like when you're going to school if I go to like college, I went to UMass for three years and there were so many girls that were getting psyched agrees. That just made me laugh because I was like, you literally have no empathy but you don't understand through any psyche at all because you learn you can read about it in a book. Yeah you can read about Like anxiety, but if you don't have anxiety, you just don't know what it's like. Yeah, and these are the same girls that II that something goes wrong with their friends they call up their fucking mental health with their school and send them away. You know, like they do not there they do not know or care even to take the time to understand the emotion that you're feeling. Yeah. So I feel like a lot of it is just like making an effort to understand what your friends are going through and like my thing is Don't treat people the way you want to be treated treat them the way they want to be treated sometimes like yes and have you don't understand? Yeah, like yeah. We're not the same time just to say yeah, how can I support you? Hmm? Yeah, like I've been having a rough month my good friend just said what can I do to make sure that you're safe and to provide you support that's really weird. And if we're good sighs. Do you want to give you want to give your friend support? Yep, without being their therapist. You can still ask for support like that's where humans me. That you know, yep, and I literally told her send me a meme or two. I'll hit you up when I need you. Yeah, sometimes it's as simple as a setting for someone that's sad like so and just being like I'm here, you know living in talk. We cannot talk we can watch TV at like my presence shows that I care. Definitely. I don't have the words for it. Yeah, you know. So I guess that's how to help a depressed friend is just to be there for them. Yeah and like and not give up on them. Even if they don't come to all your social Gatherings key inviting them. Yeah, because they want to know the people still love them. Yeah, and that just reinforces like, oh no one loves me like, you know, just like invite them places, like even if they don't go like kind of have the expectation that like if you're like plans are going to like if you make plans with them like they might fall through and like that's okay like be kind to them. Yeah. Be understanding and if they're really pissed about something like I do is with my family too and like they probably need a little extra love. Yeah. Yeah and just let them be angry, you know exiled them a little extra love when they're feeling really intense emotions because even though that's when you want to love them the least until they needed the most definitely, you know, yeah like the other day. My mom was in a really really bad mood yelling at me for no reason and I instead of being like upset. I was just like I just walked up to her and gave her a hug and just it was just like how how like and she started crying and I wasn't so she was sad. Yeah, you know and I was just like so like I immediately was like, okay. She probably needs a little extra love definitely. These kids came into my work the other day and they said some sick shit. They were like, oh when I was a kid, I used to feed alka-seltzers to seagulls. So they would blow up what the heck and I literally like my heart actually started in my chest. I feel so sick and I just said dude. Can you come across the counter? I'm going to give you a hug because apparently your parents never Hugged you you don't just do that if you got hugs, so I came around the counter and I gave him a big hug. We said I'm a pretty messed-up guy that said you should go to therapy. You said, you know what? I'm considering it and then we talked about therapy. That's another thing and that see that is not the response. He was looking for he was looking for me to be like had a heavy that Titans of the bird. Hey Emma. No I said I said yo your parents didn't hug you. Yeah, that's it. That's an animal. You know what I mean? Like could have been like what kind of sick fuck are you would yeah, sick fuck regardless. Don't get me wrong. But do I want him to go on to be a serial killer? No show him. Why don't ya	1.0
Please probably about 500 upstairs and downstairs and all these, you know, the reputation of racist chant in and just been Ultras and stuff like that and have come out with these chance and then they followed with yeah.	0.0
So I'm going to give you a little bit more time in the kitchen.	1.0
Yeah. No you're not and if we did we just cut it up.	0.0
Yeah, that's true. Yeah, what's that saying about the person who's complaining about having no shoes and then he sees a man with no feet.	1.0
Yeah. I know it's really painful to see this must be starting to British friends yesterday and said, oh, yeah. With you so sorry. I mean we are the clowns of the world right now. Running joke and say well, I mean I have great sympathy with with me. I mean I come from Germany. Watch. What do you want me to say?	0.0
Do you come up with a little	1.0
Yeah, I don't know how people do that because it's just so I read on the subway.	1.0
Like we calculated the things that they need the places that we need to rent how much?	1.0
But I mean, let's talk about the level of padding things like multiple people associated with Move I've gotten Petty with fans to a level. I don't think I've really used to I mean, I think the only thing that comes close is like Steven Universe, but like I heard that been in what kind of aren't it was a Steven Universe or Voltron Voltron Voltron where you know, there was a huge class between the Show creator people of people involved with the show and fandom and they actually kind of went back and forth with each other, but that was later. So like before Teen Wolf, I don't really remember that happening. Often enough for people to find out about it.	0.0
Okay, that's funny.	1.0
We always kind of wrap up here with the same question. If you had a megaphone and you could speak to the whole construction industry and tell them the best thing, you know, and you had 60 seconds to do it. What would you say the best thing that I know project selectivity?	1.0
So that brings us to the end of yet another episode of the trail Runners experience. If you in are enjoying this podcast, I would very much appreciate it as would Ashley if you could go over to iTunes or whatever platform you listen to this podcast on and leave a nice five star review that it really grateful and it really helps the podcast grow. So in the meantime, why don't you get out there? Keep running keep Willing and have fun. See you next time on the trail Runners experience.	1.0
All right everybody. It's terrible shot. We did it. Thank you for can't believe that was on television.	0.0
I guess he must be a nightmare to mark because the our easy it is from set to take along. It's so incredible sometime when the Villa game for the second goal loads of villa fans ringing up to W. I'm saying why didn't he tell Garcia's all one of their players say, whiny just take one? Just take him out body. Dim. Just get erect take a red card below then, you know things didn't they Ming's talking about for their freaking legendary? She's got all right moving on. Sorry. Did you go did you go to Braga boys move on. We don't mention jotters offside. That wasn't offside going as ball. Oh, yeah, like how the hell they are the block the boat flags for it straight away. If you keep slack down VAR check, it goes to college not Did you see John again Maddie you line him and some very similar thing happened today as well didn't it? But it was the referees for for blowing the whistle.	0.0
Yeah. But as always like us on Facebook gives us five stars on iTunes subscribe to the YouTube channel. Thank you everybody for happening in the chat. But if you want to stay in touch with either of us even after the show's over Katie working with Furniture, you guys can find me on Instagram and Twitter @catiewayne. Ski underscore chat me up janitor up as I'm drink my water delicious opponent Twitter Instagram and happy go Jackie folks that's gonna do for this episode of the Riverdale after show will be back here. Next Wednesday's Wednesday night. That is right. Yeah, but Oscar episode right here on AfterBuzz TV	1.0
Yeah, it's a different language.	1.0
Chompers is a production of gimlet media. Choppers is brought to you by good night's the number one night time underwear delivering protection where children needed the most grown-ups a child's imagination is beautiful to watch whether it's becoming their favorite character during Halloween or telling you about the crazy dream they had last night but waking up wet while completely normal is a reality for a lot of kids good night's offer outstanding pajama protection and fun designs with your kids favorite characters so they can match The heroes they love inside and out. Don't let nighttime wedding dampen your kids morning protect them with good night's grown-ups. Go to good night's.com to learn more.	1.0
Like tent that's 1545.	1.0
But yeah, let's show some announcements.	1.0
So I love that about like twitch and YouTube. It's like everyone who knows knows and if you don't you're just a boomer like an actual Boomer like not even the meme. You know, yeah, that's it. So safe.	1.0
Yeah.	1.0
And the thing is you don't have to like figure out your limiting beliefs. You just got to raise your vibration everything else the negative will take care of itself when you raise your vibration.	1.0
So like blindly following it without opening their mind to any sort of like, I don't know the only very specific scriptures, by the way, because yeah, they much like me or the pastor's I've had would quote like something really beautiful and then you read two lines down and it's like by the way, like slavery is should be honored and you're like wait what people that's what's so funny because I recently did a video about gay marriage as well and I was responsible.	0.0
I do that all the time. Yeah. Yeah. I'm sure I'm sure that's actually more common than you think. I would actually that's a question for anyone listening if you actually do that, cuz I'm sure I'm convinced that that is more normal than we realize.	1.0
Eh has always a good age. And so I was living in Beverly at the time and I was like sort of talking to this guy and like this is a common theme every girl in their life has a crush on a drug dealer. Every girl maybe not you Taylor. You're a good person. Everybody has a thing for one at least. Well, not are you talking like selling weed or selling? Oh, yeah just weed. Well Cody did that all throughout College. Sorry to put you on blast, but mommy we got to do that sometimes so kind of do like you can't always file your taxes with your true income.	1.0
I was was destroyed by a flare that we were fired at this allowed Cog to use and swing the propeller of a wrecked ship at his adversary similar to a medieval flail.	0.0
This is the first of all this is the third time. I actually did that that we record something so that's it for now and I hope you like it guys make sure you follow us smash that like button.	1.0
Good mice look cold out.	1.0
That's A cool but like ones that's why would you pay for National Geographic? It's a weird thing to pay for. I feel like I guess I don't know my dad would stand around and watch National Geographic on TV all day or whatever but like and like once I everyone seen every fucking Pixar movie and then you're going to watch the new one theater is and then like well, maybe that's you I think people have kids and stuff to you know, I think most people you have Disney plus.	1.0
That's totally that's that's a good I think that's fair because I felt the same thing like there are certain things that stuck out to me, especially in the first episode like remember that blue guy. Why none of that blue guy in the first episode he was so out of place in my eyes. Like he he totally like totally didn't fit the show because like the Mandalorian at it's very core. It seems to me like it's like a space Western, you know, and it's like everyone's grittier and it is cheesy in some parts like the I have spoken guy, but it's still totally relevant. But the blue guy to me in the first episode stuck out like a sore thumb like he he broke the tone for me. That's when I was like, oh this might Bad show so I share the sentiment but I think okay overarching lie like the show is darker grittier, but it still has that like that Star Wars cheese in it though. It's like the character like the hard thing is now to make the Mandalorian an empathetic character because he's not taking off his helmet. I think that's going to be really interesting.	1.0
It is genuinely some folks of talk. Some folks here boys. Akemi Hennessey. Akemi ago Douglas life back Sam rickets. Oh good you guys right back as a captain as well. Send to back sends. Yeah. Yeah. Now the next two is a very particular moment because they weren't very good for very long, but Courtney whores and Dominican oil into that 2015 ended 2415. When they first came into the team they were insane how good they were also these two boys and pepper in Greenland.	1.0
Yeah. See, I definitely like to have another crack later in the season if possible. Yeah, that's my goal is to see it for the tracks easy. Yeah, maybe you know freak A 4 comes up.	1.0
I don't even like the video it was dumb. It was video called why I left Christianity and it was actually a response video to a different video that I had made where I had said like, you know, I was silenced in church and like I wasn't allowed Odd to ask questions and like all this stuff and people were like, you know commenting on that and so I did a response video basically clarifying saying I was allowed to ask questions, but I could only ask them once and then once I asked them and got the Christian answer it was like that's your answer like accept it and if it wasn't good enough for me. It was like why are you like beating a dead horse? Why are you still so like, you know, you're just trying to like, you know, put your Deceitful Wicked heart into scripture because you want you know it to be the way you want it to be in like all this stuff and it was just such a misinterpretation of me. Just trying to like learn more and do research and it was like if you keep talking like that you're going to talk yourself right out of this face like you don't sound like a Christian to me and it was just kind of a lot of kind of it wasn't even a very accurate title now that I'm thinking about it because I truly clarified and said I left because I didn't think If the facts were there but in the midst of me doing all this research and and kind of getting all these questions brought to the surface. I was a bit frustrated that I was like borderline not even a Christian at this point and yet you know people I knew who wanted to go into Ministry who were dedicating their life to this Faith didn't even care enough to know the deeper side of their belief system. Like they just had no interest in looking deeper and study. Harder in in answering my questions and like I understood that everyone has their own life and you know, they can't just put it on pause to then, you know study all this stuff with me, but it did frustrate me that the church in itself did a poor job of preparing Christians for the tough questions. Like if there's an atheist who knows apologetics better than Christians, that's that's not good. Good, you know I don't know I feel like that video was like misinterpreted through the YouTube space is crazy.	0.0
Yeah, it's best I could yes are they kind of just go switch in once it comes with straps yourself? Yep. Take it forward. It is like there's not much I can do about it now and I've liked it. He said coming off an injury last year where I ran through the injury and just made it so much worse. I mean he had to take months off. Mr. Rice, then miss a number five.	0.0
Yeah that never made sense to me because it honestly it was used as just like a silencing tactic and a way for like Christians to feel like they could be above other Christians. I feel like like they felt like their point was like being offended when they could pull that verse out and kind of like it's because they don't have a point but beyond that point.	0.0
I don't so I it makes sense to me the like of course. I don't find it as funny now but 2006 that's the first episode that makes sense.	1.0
Yeah, that'll definitely fix it for you. So, I mean we definitely Definitely stretch this out to a good-sized episode. Now. I feel like you know, there's we had a really good conversation. I definitely like to have you on again if you're able to yeah, and I'll definitely look into better gear not crackling too much. Oh, no, you sound absolutely fine. So everybody thank you guys for joining us for this episode of the hop-up cast. Thank you Tina.	1.0
So some kind of a disinfectant liquid can go in there lastly remove any bathroom rugs and sweep the bathroom floor and dustpan it and then either mop the floor or maybe wipe it by hand with a disinfecting wipe.	1.0
So we'll see if I get a call from the nurse.	1.0
I mean she does not lose shape. She's like you go into a lesson with her and I'm very visual. So for me, it's very important for my teacher to be able Able to show me what they mean and rather than just verbally explaining it. I need to see it. Right. So the fact that she can even do the things she does is remarkable. She gets up. She does her back basic into fan and some Ballroom step since like you don't want to you don't want to actually go after that because you're like, I don't want to follow that direction.	0.0
All right. We're rolling. Let's start this.	1.0
There's going to be order it's going to be consequences, which we know does not go well with his group of friends. No. No, I mean they don't listen to anything.	0.0
Well, thank you, Amanda and Renee and congratulations on your championship. So with all that being said that's a wrap on our fall Sports season. Thank you to everyone who made it possible. Thank you to the fans who came out to support the team's thank you to parents for driving your kids back and forth to practices and games. Thank you to everyone who helped with things like the scoreboard being a line judge for volleyball or a ball boy for soccer. Thank you to Kim Willie and Destiny Yoder especially for providing score updates on soccer and volleyball throughout the season. Thank you to Becky Yoda for live streaming some of those volleyball. Games if you got a chance to watch some of those you can thank Becky sometimes she was the one who made that happen on that note. I think it was cool to see all the people who are watching some of the volleyball games live on Facebook. I was doing the championship game and we had over 30 people watching at one point from different states and it's just another way that you can keep up with GMS Sports, even if you're not able to actually be at the games physically. We hope to do more live streams during the upcoming basketball season. So stay tuned for that. If you can't make it out to some of the basketball games. Be sure to check our Facebook page. Because we will be live streaming some of the speaking of basketball basketball practices are alive and well right now varsity teams have been at it for about a week now a couple weeks and I can tell you at least for the boys. They are been worked hard get ready for that season will have season previews for the winter sports coming up in a few weeks. Just a reminder that over Thanksgiving break on Saturday, November 30th. We having the alumni basketball night this year again, the theme is past present and future the evening starts at four clock with a future flame games we've about Fifteen to twenty second through fifth graders here at GMS that have signed up to come to a clinic run by the Varsity Boys Basketball team from two o'clock four o'clock and then at four o'clock, they're going to play a game and we hope to have a crowd here for for their game so they can experience that. So if you're coming to the alumni basketball night come out at 4 o'clock and watch our future flames in their game after that. The five o'clock will be the varsity girls. Versus the GMS alumni girls. If you want to play in that game, please come we would love to have you at 6:15. We're going to have a varsity boys intrasquad scrimmage. We're going to split them up into two teams. We have 17 members of The Varsity Boys Basketball team this year. So we're just going to split up and play a game with with just those team members then at 7:30. We'll have a men's alumni scrimmage. So if you want to play in that game, please come as well. That good at any men's alumni from any year. You're welcome to come out and play. We're also going to recognize the only two basketball teams in JMS that have gone undefeated the 95-96 girls team in the 99 2000 boys team again, if you played for one of those teams, we'd love for you to come out and be recognized in between the girls and boys games probably around six ten something like that. And if you're so if you're interested, please come out spread the word to anyone that you think might want to come or play or just watch you can sign up online. Or you can just show up and play will have food there. You can come out and enjoy an entire evening of past present and future GMS basketball player starting at four clock. That's Saturday, November 30th. Thanks for listening to this episode and we will have a winter sports preview in the next couple weeks.	1.0
It seems nine people be crazy and you know back to bring them up with naloxone like, you know, if you have the means as a responder with like a bag valve mask and oxygen no freeze for them. Give them that oxygen concentration. That's just going to help them come up so much nice. Afterwards where we're getting those fights is we're rolling up on scene and people are hammering with naloxone prior to our arrival, but they're not doing in ventilating then we start ventilating then we give them a little bit more logs on and then they come up from the quickly right? It's probably because they've already got a pile of Narcan in them, but then there are hypoxic and then we're battling that so they're just confused.	0.0
Well, I can shout right she'll be okay.	1.0
I like we have bags of Twizzlers are Twizzlers. Kosher. Yes. The question they are Kosher or else I wouldn't be representing them. Okay, they are I just want to double-check keep you on track hold you accountable. Thank you so much. So for today's episode, I think it's really interesting. And yeah that I miss anything about you before I keep going.	1.0
- Cody as well.	1.0
It was great.	1.0
I would want to run away from that and I want to run towards it. I am slow motion.	0.0
No, I didn't realize what had happened until I saw the feathers and What I didn't realize you never saw the bird alive. I just saw the feathers people everywhere Dave.	0.0
So I did not I just know you didn't I don't think I did. I still don't understand why you might agree on that.	0.0
Yeah. I don't know if Ashley I would just down in Nevada. You want to Vegas we were talking at one of the Uber drivers about Opioids and stuff because we were when we're driving the ground to cover rougher part down and they were cut you just kind of surprised that we even do Narcan they were saying oh, yeah, we did we did start entering couple last week. He's like, why would you guys have that I would you guys help so I don't know if some of the some of the states are less open-minded to that sort of stuff. So no because I don't like California is but yeah California's a lot. BC from I understand but I think certain States down there are maybe not quite as open.	0.0
that I always into that and then when I groove into my adolescent age	1.0
You could do your homework. You're like Jack fucking pot.	1.0
To get in front of camera as you're doing things that I'm going to get into a little bit of that. But before we do that, I want to go right back to the start and ask what were you doing? Just before you got into the home staging industry.	1.0
By the way, those are trademarked names. I don't think we're gonna get in trouble for that.	1.0
Exactly might be janky like a might be janky or Vehicles.	0.0
I can't even imagine how all over must have felt. I know because you're being so weird scene.	0.0
It seems like he built a really great product and can totally see retailers using a I just want to understand is this a 10 million hundred million billion 10 billion dollar Marty six billion dollar market. So, how do you so let me tell you how I would think about Market size images you say you're going after the Middle Market right 10 million 250 million hundred ten million 100 million in Revenue. I think about Market size is how many retailers exist in that sort of bucket. How many of them don't have an A. Nap and what's your sort of annual price per retailer really backing through to the market? I just worry that we're going after a nice hundred million dollar market but not a ten billion dollar market, excellent. So the total addressable addressable Market our addressable Market is 6 as 36 billion dollars currently right now, but you and that's yeah, you can't think you can't think of it as total retail Stan you got to think about it as what Revenue can we get from our Target? But he said that their issues billion years being spent by these retailers on mobile. If you look you're not going to get right you're gonna we're gonna work.	0.0
It was the yellow it was hurting. My eyes was too much. Yeah Valentina she did. Kind of like a Miss Venezuela Barbie thing where she's got like a Miss Venezuela Sash and a crown on it was funny because Michelle read her thoughts a group, right?	0.0
/ laundry's.	1.0
He was in deep into the farm very and deep he would have gave an organ.	1.0
I can I can do that just because it's off my recording for my voice but you guys can't because it's going to like for you guys so that's what that's gonna be in the corny, but that's okay. So we spent about like 13 minutes on this topic. Would you guys like to move on to the next topic? You can finish what you you can finish your thing? Might as well.	0.0
Well, I don't even know what this guy stop watching that about.	0.0
He's overachieved for us like when we signed him.	1.0
You probably want the You probably would want the first one at least.	1.0
What was it like working with him?	1.0
Although you will undoubtedly be ready to jump right in there are a few more tasks you need.	0.0
My peoples yeah, but you know, I was surprised to see your man is if he was for real he to be like you know, what I appreciate the Loyalty but you enjoy.	1.0
But I heard I'm not gonna let them use my name anymore. Am I gonna see you? Imagine if they had really gotten off the ground? They would have been flashing his face everywhere, even if he wasn't Signed on to it. No, definitely.	1.0
I still think the peppermint patties.	1.0
Yeah. Exactly. No, it was good. It was such a good day. Like as always, you know, it's like an emotional roller coaster like with these there's things always are but I think when you the more experience you get get better. At riding that roller coaster and managing the roller coaster that makes sense. You know, you don't yeah, I just felt like it was I mean, I remember the first it was this familiar feelings. Like I yes, I know this feeling I've been this low before I can get out of it and then you know, I'll might eat a potato and now make me feel a bit better and it does it. I don't know. Yeah, it's weird but not as good and you know, like I say and some phenomenal This is one of the ladies I coach Jennifer at. Oh sir. She is 50 years old and she finished. I think I trained her little bit too. Well, I coached in a bit too. Well because she was only like 14 minutes behind me or something. And so thankfully, I mean not that it wouldn't be terrible if she'd beat me but you know, I'm competitive I don't you know, she she did really well and she was wrapped and up the first series. The name of the first woman and then was a lie someone I've never met her before. She probably had me on my half an hour but there's a lady named Sonia Jansen who I'd love to try and get on the podcast if she's listening and she she only had a baby six weeks ago. She's phenomenal, you know, like and she still did it in just on 13 hours, you know, like it's just an incredible performance. So lots of people that just blows my	1.0
Not a sick thing to say.	0.0
Just I think it really depends. Yeah, it really does.	1.0
Okay. I see I knew her before that but like still like the thing that I knew her from was like A Walk to Remember which is Nicholas Sparks movie that I probably should have known at the time. So yeah, I agree with you on that. I don't think that she was the person to compare people to okay my neck.	0.0
Yeah. Okay.	1.0
Yeah, you get pumped by stop and you just say, oh that was just a log or something. It's Rick yourself inside. I've had my knee. A guy in the water first for the first 30 minutes he a swimming up and back up and back and it's equipment trying to detect him and I decided to do him a good turn and I said just jump out mate. Let me take over take a break and I jump in the water in a black wetsuit a pair of black fins, and I'm on the surface on my back. Just moving from point A to point B, and I look over my left shoulder to make sure that I'm still headed towards the bow of the warship that I'm supposed to be attacking and before I can turn back I You have a huge whack in my leg and it didn't really hurt but it just kind of shocked me and I turned around to look and there's just a massive shock head touching me and takes me feels like seconds to work out what's going on because I've never even seen a shock and all of a sudden is this, you know, it's like Shark Week has come to life in front of me while I'm swimming and I don't really know what to do. And I think the shark knows what to do either because it's kind of staring at me and we try to work. You out if I'm food, and then so my survival instincts kick in and I think all right. I've seen the crocodile hunter. I've seen Shark Week over our job it in the eyeball. So I tried but I can't move my arm and I looked down and I can see the teeth embedded into my wrist and every time I try and pull it I can see the flesh tearing I was so I think nothing left hand I go to the eyeball with my left and I reach over but I can't reach it and in short side grab it by the nose and try to push it off, but that Is the type of the lower jaw deeper into the back of my leg. So I cut back to try and punch it in the nose and by that stage the Sharks decided on food and starts to shake me and that's when the paint kicks in like a hundred teeth razor-sharp teeth on either side of your limb moving in unison to tear through your flash and all of the fight went out of them took me under water and I was just yelling and I was in agony and we popped up and I took it. Breath and then it took me back under and just kept thrashing me around like a rag doll and I realized how powerful it was nothing I could do and so I realized that I was going to die and I remember thinking to myself. I'm not going home today. I'm going to die right now and it was strange because it wasn't like times flow down. I think our bodies and our minds are such incredible machines and my mind went into hyperdrive and I started running. My life is hanging. Okay, am I ready to die and I thought well shit no coming from where I started out as a really lost and bad kids self-harming and drugs and all that stuff and fighting and stealing to where I had achieved Peace Keeping with the UN and the elite of the Navy and all that sort of stuff and I thought you know what I'll come further than I've ever thought possible if I'm going to die now I have no regrets. I'm ready to go. And so I let go and I was ready to drift away and the A shark at that point ripped through the rest of my leg and took my hand off and because it wasn't attached to me anymore. My wet suit made me boy and I'll pop to the surface and I realized that I wasn't dead and I thought shit. I got to get out of here before it comes back and I saw my safety boat with my three teammates in and I start to swim to the safety boat. But as soon as I take a stroke, I can see my hands gone. It just my arm ends at the end of my wetsuit and my medical training kicks in and I think I've got to keep that wound above my heart to stem the bleeding. So I've got one out of the water swim back to the boat with one hand and one leg because I can't even feel my right leg. I don't know what's wrong with it at this point. I just can't feel it. And the guys in the safety boat said I was literally swimming through a pool of my own blood and they said when they came in closer, he was actually so stick they could taste it in the air and I just I didn't think I was going to make it. I thought there's so much blood in the water sharks will come back and other sharks going to smell it and I'm going to die. I'm just waiting for a shock to grab me. By the other leg and it just never came so I just kept swimming back to the boat and eventually the guys got to me pulled me out of the water and just out of the sheer relief of not being eaten any more. I relax my eyes rolled back in my head and I pass out and my mate almost brings into action and his training tells him. I'm going into cardiac arrest and he needs to stimulate my heart. So he straddles me and he starts pummeling me in the chest. I'm trying to wake me back up and and it work. And I wake up and I look over and my hands gone freshly bitten off by a shark and I look up and tell me who's beating the shit out of me and I just think today sucks.	0.0
So how many times did you go to the principal's office?	1.0
Cheers Cheers this big promise I have for your life. Right and we're like, oh my gosh, like how am I supposed to do that? Sometimes?	1.0
We all know Happy Thanksgiving in retrospect to all you're giving of thank turkeys deep-fried turkey fryers are was last week and there was so many videos that popped up for ya. It's insane. How many people do that?	1.0
This part is quite small pitch anymore.	1.0
